location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),24 X 7 Security,Children's play area,Club House,Full Power Backup,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,Gymnasium,School,locality_score,project_score,builder_experience,Intercom,Rain Water Harvesting,Car Parking,Vaastu Compliant,Indoor Games,Multipurpose Room,Staff Quarter,Golf Course,Cafeteria,Maintenance Staff,ATM,Shopping Mall,Hospital
Raj Nagar Extension,2250,13500000,INR,1,1,0,"A spacious 5 bhk villa is available for sale in Raj Nagar Extension, Ghaziabad. It has a salable area of 2250 sqft and is available at a price of Rs. 6,000 per sqft. The house is semi-furnished. Its main door is facing southeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. ",1,southeast,0,0,0,0,1,1,1,0,0,0,0,1,,,,,1.0,,,,,,,,,,,,
Vaishali,1582,12000000,INR,,0,0,"A 3 bhk property is available for sale in Vaishali, Ghaziabad. It has a built-up area of 1582 sqft and is priced at Rs. 1.20 cr . It is east facing property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Govindpuram,1200,3400000,INR,,1,0,"It’s a 3 bhk villa situated in SLV Infrabuild SLV Balaji Encalve, Govindpuram, Ghaziabad. It has an area of 1200 sqft with a carpet area of 720 sqft . The property is available at a price of Rs. 34.00 lac . It is a 4 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact for more details. ",1,,0,5,0,0,0,0,0,0,0,0,0,0,,,,123.0,,,,,,,,,,,,,
Raj Nagar,1800,21500000,INR,,0,0,It’s a 3 bhk villa situated in Raj Nagar. It has an area of 1800 sqft with a carpet area of 1800 sqft . The property is available at a price of Rs. 2.15 cr . It is a semi-furnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Please contact for more details. ,1,north,0,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
Chipiyana Buzurg,800,4300000,INR,1,1,0,"The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,northeast,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Govindpuram,1450,4700000,INR,,1,0,"A 3 bhk property is available for sale in Govindpuram, Ghaziabad. It has an area of 1450 sqft with a carpet area of 1350 sqft . The property is available at a price of Rs. 47.00 lac . It is a semi-furnished property. It is facing northeast direction. It is a ready-to-move-in property. Contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Chhapraula,540,1949940,INR,1,1,0,It has an area of 540 sqft . The property is available at a price of Rs. 19.50 lac . It is an unfurnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. Contact us for more details. ,1,,0,0,0,0,0,0,0,0,0,0,0,0,1.0,,,,,,,,,,,,,,,,
Raj Nagar Extension,2800,9000000,INR,,1,0,"It has a salable area of 2800 sqft and is available at a price of Rs. 3,214 per sqft. The house is unfurnished. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. ",1,east,0,0,1,0,1,1,1,1,1,0,0,1,,,,14.0,1.0,,,,,,,,,,,,
Govindpuram,900,2950000,INR,,1,0,"It’s a 2 bhk villa situated in Govindpuram. It is facing east direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,east,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Chipiyana Buzurg,915,3294000,INR,,1,0,"Well designed 2 bhk villa is available at a prime location in Chipiyana Buzurg. It has a salable area of 915 sqft and is available at a price of Rs. 3,600 per sqft. It is east facing property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. ",1,east,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Raj Nagar,2500,22000000,INR,,0,0,"It has a salable area of 2500 sqft and is available at a price of Rs. 8,800 per sqft. The house is semi-furnished. It is made in way to provide a comfortable living. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Raj Nagar Extension,2875,18600009,INR,0,1,0,"It has an area of 2875 sqft . The property is available at a price of Rs. 1.86 cr . The house is unfurnished. Its main door is facing northeast direction. This residential complex is under-construction as of now. . It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Chhapraula,695,3250000,INR,,1,0,"It’s a 3 bhk villa situated in Prithvi Associates Noida Greens, Chhapraula. It has a built-up area of 695 sqft and is priced at Rs. 32.50 lac . It is a semi-furnished property. It is northwest facing property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,northwest,0,0,0,0,0,1,1,0,0,0,0,0,1.0,,,,,,,,,,,,,,,,
Raj Nagar Extension,3600,14400000,INR,0,1,0,"This spacious 4 bhk villa is available for sale and is located in Vaikuntam Buildcon Vilasaa, one of the most prestigious projects of Raj Nagar Extension. It has a salable area of 3600 sqft and is available at a price of Rs. 4,000 per sqft. The house is unfurnished. It is northeast facing property. It is an under-construction property and is expected to get completed by 03/02/2027. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,northeast,0,0,0,0,1,1,1,1,1,0,0,1,,,,,1.0,,,,,,,,,,,,
Dasna,1693,14500000,INR,1,1,0,"5 BHK Villa for sale in Ghaziabad. This property is in Wave City, which is a coveted investment location. This tastefully designed 5 BHK unit is among Ghaziabad's best properties. Contact now for more details. The price of the Villa is Rs 1.45 Cr. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1693 Square feet. It has 5 bathroom and 5 bedrooms. Some of the very well-known and reputed speciality hospitals like Columbia Asia Hospital - Ghaziabad, Ayurvedic treatment for Piles, Fissure, Fistula in Ghaziabad, India, and Komal Sharma Hospital are just a walk away from this location",1,,0,2,0,0,0,0,0,0,0,0,0,0,,7.2,,2022.0,,,,,,,,,,,,,
Lal Kuan,1480,4600000,INR,1,1,0,It has a built-up area of 1480 sqft and is priced at Rs. 46.00 lac . It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. ,1,east,0,0,0,0,1,1,0,0,0,0,0,0,,7.4,,,,,,,,,,,,,,,
Vasundhara,1900,36000000,INR,,0,0,"A 5 bhk property is available for sale in Vasundhara, Ghaziabad. It is a semi-furnished property. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Ansals Chiranjiv Vihar,1800,19000000,INR,,0,0,"It’s a 5 bhk villa situated in Ansals Chiranjiv Vihar. The house is semi-furnished. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Raj Nagar,900,4500000,INR,,1,0,Well designed 3 bhk villa is available at a prime location in Raj Nagar. It has an area of 900 sqft with a carpet area of 850 sqft . The property is available at a price of Rs. 45.00 lac . It is a semi-furnished property. It is east facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Kindly call us for details. ,1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Ghukna,1570,13500000,INR,,1,0,It has a built-up area of 1570 sqft and is priced at Rs. 1.35 cr . The house is furnished. It is northeast facing property. It is an under-construction property and is expected to get completed by 31/12/2023. The society is well connected by different modes of transportation. Contact us for more details. ,1,northeast,1,0,1,0,1,1,1,1,1,0,0,1,,,,,1.0,,,,,,,,,,,,
Vasundhara,600,1750000,INR,,1,0,This spacious 2 bhk villa is available for sale and is located in the heart of Vasundhara. It has a built-up area of 600 sqft and is priced at Rs. 17.50 lac . It is a semi-furnished property. It is facing northeast direction. It is a ready-to-move-in property. The society is well connected by different modes of transportation. Kindly call us for details. ,1,northeast,0,0,1,0,0,0,0,0,0,0,0,0,,,,,1.0,,,,,,,,,,,,
Govindpuram,1500,4600000,INR,,1,0,"It’s a 3 bhk villa situated in Govindpuram, Ghaziabad. It has a salable area of 1500 sqft and is available at a price of Rs. 3,066 per sqft. The house is semi-furnished. Its main door is facing north direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Contact us for more details. ",1,north,0,0,0,0,1,1,0,0,1,0,0,1,,,,,1.0,,,,,,,,,,,,
Vaishali,1500,23000000,INR,,0,0,This spacious 2 bhk villa is available for sale and is located in the heart of Vaishali. The house is semi-furnished. It is facing northwest direction. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Please contact for more details. ,1,northwest,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
Vasundhara,1250,13000000,INR,,0,0,"It’s a 2 bhk villa situated in Vasundhara, Ghaziabad. It has a built-up area of 1250 sqft and is priced at Rs. 1.30 cr . It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Lal Kuan,645,2250000,INR,1,1,0,Well designed 3 bhk villa is available at a prime location in Lal Kuan. The house is semi-furnished. It is a ready-to-move-in property. It is situated in the proximity of all the important facilities. Please contact us for more details. ,1,east,0,0,0,0,0,0,1,0,0,0,0,1,,7.4,,,,,,,,,,,,,,,
Dasna,1370,11500000,INR,,0,0,"It’s a 2 bhk villa situated in Agarwal Associates Aditya World City, Dasna, Ghaziabad. It has an area of 1370 sqft with a carpet area of 1300 sqft . The property is available at a price of Rs. 1.15 cr . The house is furnished. Furnishings include 1 tv, 1 refrigerator, 1 sofa, 1 washing machine, 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. It has club_house. Other amenities include swimming_pool, gymnasium and children's_play_area. It is a 7 year old ready-to-move-in property. It is made in way to provide a comfortable living. Kindly call us for details. ",1,northeast,1,7,1,1,1,1,0,1,1,1,0,1,1.0,7.2,4.0,43.0,,,1.0,,,1.0,,,,,1.0,1.0,
Lal Kuan,720,2800000,INR,1,1,0,"This spacious 2 bhk villa is available for sale and is located in Property Vision Promotors And Developers Mansarovar Park Lalkua, one of the most prestigious projects of Lal Kuan. It has a salable area of 720 sqft and is available at a price of Rs. 3,888 per sqft. The house is unfurnished. It is a 4 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,,0,4,0,0,0,0,0,0,0,0,0,0,,7.4,,123.0,,,,,,,,,,,,,
Shakti Khand,1000,14000000,INR,1,0,0,"A 2 bhk property is available for sale in Shakti Khand, Ghaziabad. It has a salable area of 1000 sqft and is available at a price of Rs. 14,000 per sqft. It is made in way to provide a comfortable living. It is well connected to the city areas. Kindly call us for details. ",1,east,0,0,1,0,1,0,1,1,1,0,0,0,,9.3,,,1.0,,,,,,,,,,,,
Ghukna,3200,16000000,INR,,1,0,"This spacious 4 bhk villa is available for sale and is located in ASM Management Consultants Palm Drive, one of the most prestigious projects of Ghukna. It has a built-up area of 3200 sqft and is priced at Rs. 1.60 cr . The house is furnished. Its main door is facing east direction. It is made in way to provide a comfortable living. ",1,east,1,0,0,0,1,1,1,1,1,0,0,1,,,,,1.0,,,,,,,,,,,,
Lal Kuan,3150,11891250,INR,0,1,0,"It has an area of 3150 sqft . The property is available at a price of Rs. 1.19 cr . The house is unfurnished. It has car parking. Other amenities include 24x7 water supply, landscape garden and tree planting, fire sprinklers and full power backup. It is an under-construction property and is expected to get completed by 31/12/2021. It is made in way to provide a comfortable living for the residents. Please contact for more details. ",1,,0,0,0,0,0,0,1,0,0,0,0,0,,7.4,,,,,1.0,,,,,,,,,,
Lal Kuan,1620,19000000,INR,,0,0,"A 3 bhk property is available for sale in Land Craft Developers Golf Link Villas, Lal Kuan, Ghaziabad. It has a built-up area of 1620 sqft and is priced at Rs. 1.90 cr . The house is semi-furnished. It is a 6 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,,0,7,1,1,1,1,1,1,1,1,0,1,,7.4,8.3,16.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,
duhai,620,2650000,INR,0,1,0,It is a semi-furnished property. It is facing east direction. It is an under-construction property . It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Please contact us for more details. ,1,east,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Lal Kuan,1050,4233333,INR,,1,0,It’s a 2 bhk villa situated in Lal Kuan. Its main door is facing east direction. This residential property is ready-to-move-in. The society is well connected by different modes of transportation. Please contact for more details. ,1,east,0,0,0,0,1,0,0,0,0,0,0,1,,7.4,,,,,,,,,,,,,,,
Govindpuram,800,2425000,INR,,1,0,The house is semi-furnished. It is a 7 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Please contact for more details. ,1,northwest,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Raj Nagar Extension,3500,15000000,INR,,1,0,"Well designed 4 bhk villa is available at a prime location in Raj Nagar Extension. It has a salable area of 3500 sqft and is available at a price of Rs. 4,285 per sqft. It is a semi-furnished property. It is facing northeast direction. It is an under-construction property . It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. ",1,northeast,0,0,1,0,1,1,1,1,1,0,0,1,,,,,1.0,,,,,,,,,,,,
