location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,locality_score,project_score,builder_experience,Intercom,Indoor Games,ATM,Maintenance Staff,Staff Quarter,Multipurpose Room,Car Parking,Hospital,School,Shopping Mall,Vaastu Compliant,Cafeteria,Rain Water Harvesting,Golf Course
Sector 50,1500,18500000,INR,,0,0,"A 3 bhk property is available for sale in Sector 50, Chandigarh. It has an area of 1500 sqft with a carpet area of 1480 sqft . The property is available at a price of Rs. 1.85 cr . It is a semi-furnished property. It is southeast facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is well connected to the city areas. ",1,southeast,0,0,0,0,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,1995,12500000,INR,1,0,0,"Property for sale in Devi Nagar, Mohali. This 3 BHK Independent Floor is located in Mohali's most promising location. It is on floor 1. The total number of floors in this building is 3. The built-up area is 1995 Square feet. The property has 3 bedrooms and 3 bathroom. It also has a servant room. This unit enjoys a good view and is a North facing property. This residential building in Devi Nagar, Mohali has lift facility. Kids too have access to a kids area. Other amenities include Gym, Garden, Swimming Pool, Clubhouse. This property also enjoys power backup facility. Regular water supply is available. This is a gated community. This Independent Floor is strategically located within close distance of famous healthcare centres such as PHC, Mullanpur Garibdas and Dashmesh Eye Centre. Schools like Bajwa Institute, Guru Gobind Singh Vidya Mandir Sr. Sec School, and International Divine School Of Nursing are also nearby",1,north,0,0,1,1,0,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,
Sector 15,2250,28500000,INR,,1,0,"Newly built property 
High class material 
Great location  More About This Property 3 BHK Independent Floor for sale in Sector 15, Chandigarh - contact now, for details about the most coveted property. This 3 BHK unit is available in Sector 15 and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in Sector 15. It is on floor 0. The total number of floors is 2. The price of this Independent Floor is Rs 2.85 Cr. It is a good, spacious Independent Floor unit with carpet area of 1687 Square feet. The built-up area is 2250 Square feet. There are 3 bedrooms and 3 bathroom. This property is at a walking distance from Post Graduate Institute of Medical Education & Research, Chandigarh, New OPD PGI, and PGI Emergency. The city's best schools such as Govt Sr Secondary School, D.A.V. Model School, and Extreme Martial Arts Chandigarh are near your residential property",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Dhakoli,1150,3000000,INR,1,1,0,,1,north,0,122,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Lohgarh,1300,4890000,INR,,1,0,Well designed 3 bhk builder floor is available at a prime location in Lohgarh. It has a built-up area of 1300 sqft and is priced at Rs. 48.90 lac . It is a semi-furnished property. It is northwest facing property. This residential complex is under-construction as of now. . It is made in way to provide a comfortable living. It is well connected to the city areas. Please contact us for more details. ,1,northwest,0,0,1,1,0,1,1,1,1,1,0,0,,,,1,,,,,,,,,,,,,
Sector 78,1836,11000000,INR,,0,0,This spacious 3 bhk builder floor is available for sale and is located in the heart of Sector 78. It has an area of 1836 sqft with a carpet area of 1440 sqft . The property is available at a price of Rs. 1.10 cr . The house is unfurnished. It is east facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Kindly call us for details. ,1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 79,1350,5800000,INR,,0,0,"Well designed 2 bhk builder floor is available at a prime location in Sector 79. It has a salable area of 1350 sqft and is available at a price of Rs. 4,296 per sqft. The house is semi-furnished. It is facing north direction. It is a 6 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Please contact us for more details. ",1,north,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 63,1050,5500000,INR,,0,0,"A 2 bhk property is available for sale in Sector 63, Chandigarh. It has an area of 1050 sqft with a carpet area of 950 sqft . The property is available at a price of Rs. 55.00 lac . The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is well connected to the city areas. Kindly call us for details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,2700,7500000,INR,,0,0,"A spacious 3 bhk builder floor is available for sale in New chandigarh mohali, Chandigarh. It has a salable area of 2700 sqft and is available at a price of Rs. 2,777 per sqft. It is a semi-furnished property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,southeast,0,0,0,1,0,1,1,0,1,1,0,0,,,,,,,,,,,,,,,,,
Dhakoli,1755,6900000,INR,,1,0,"It’s a 3 bhk builder floor situated in Dhakoli, Chandigarh. It has a salable area of 1755 sqft and is available at a price of Rs. 3,931 per sqft. It is a semi-furnished property. Furnishings include 1 tv, 1 sofa, 1 sofa, 1 dining table and 1 ac. It is facing northeast direction. This residential complex is under-construction as of now. . It is well connected to the city areas. If you are interested, please contact us for more details. ",1,northeast,0,0,1,1,0,1,1,1,1,1,0,0,,,,1,,,,,,,,,,,,,
New chandigarh mohali,1640,6500000,INR,1,0,0,"A spacious 3 bhk builder floor is available for sale in New chandigarh mohali, Chandigarh. It has a built-up area of 1640 sqft and is priced at Rs. 65.00 lac . It is a semi-furnished property. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 51,1100,13500000,INR,,0,0,"A spacious 2 bhk builder floor is available for sale in Sector 51, Chandigarh. It has a salable area of 1100 sqft and is available at a price of Rs. 12,272 per sqft. It is a semi-furnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 60,1100,7500000,INR,1,0,0,"Well designed 2 bhk builder floor is available at a prime location in Sector 60. It has an area of 1100 sqft . The property is available at a price of Rs. 75.00 lac . The house is semi-furnished. It is facing northeast direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,northeast,0,5,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,4093,27500000,INR,,1,0,"It’s a 5 bhk builder floor situated in New chandigarh mohali, Chandigarh. The house is semi-furnished. It has gymnasium as well as swimming pool. The project also has power backup, lift available and club house. It is facing east direction. It is an under-construction property . It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,east,0,0,1,1,0,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,
Sector 78,1125,8000000,INR,,1,0,"It’s a 2 bhk builder floor situated in Sector 78. It has an area of 1125 sqft with a carpet area of 890 sqft . The property is available at a price of Rs. 80.00 lac . It is an unfurnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,1560,9500000,INR,,0,0,It’s a 3 bhk builder floor situated in New chandigarh mohali. It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Contact us for more details. ,1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Dhakoli,900,2750000,INR,,0,0,"This spacious 3 bhk builder floor is available for sale and is located in the heart of Dhakoli. It has a salable area of 900 sqft and is available at a price of Rs. 3,055 per sqft. It is northeast facing property. This residential property is ready-to-move-in. The society is well connected by different modes of transportation. Kindly call us for details. ",1,northeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Dhakoli,990,3555000,INR,1,1,0,"This spacious 3 bhk builder floor is available for sale and is located in the heart of Dhakoli. It has a salable area of 990 sqft and is available at a price of Rs. 3,590 per sqft. The house is semi-furnished. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 79,1800,10500000,INR,1,0,0,"Well designed 3 bhk builder floor is available at a prime location in Sector 79. It has a salable area of 1800 sqft and is available at a price of Rs. 5,833 per sqft. It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sunny Enclave,1080,3490000,INR,,1,0,"A spacious 3 bhk builder floor is available for sale in Sunny Enclave, Chandigarh. It has an area of 1080 sqft with a carpet area of 948 sqft . The property is available at a price of Rs. 34.90 lac . Its main door is facing east direction. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Dhakoli,1358,3800000,INR,,1,0,It’s a 3 bhk builder floor situated in Dhakoli. It has an area of 1358 sqft with a carpet area of 1050 sqft . The property is available at a price of Rs. 38.00 lac . The house is semi-furnished. It is east facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. ,1,east,0,0,0,0,0,1,0,0,0,0,0,0,,,,1,,,,,,,,,,,,,
Dhakoli,900,3190000,INR,1,1,0,Well designed 3 bhk builder floor is available at a prime location in Dhakoli. It has an area of 900 sqft . The property is available at a price of Rs. 31.90 lac . It is a semi-furnished property. It is a ready-to-move-in property. Contact us for more details. ,1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Dhakoli,1125,4200000,INR,,1,0,"This spacious 3 bhk builder floor is available for sale and is located in the heart of Dhakoli. It has an area of 1125 sqft with a carpet area of 925 sqft . The property is available at a price of Rs. 42.00 lac . The house is semi-furnished. Its main door is facing north direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,north,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,1415,7950100,INR,0,1,0,"Well designed 3 bhk builder floor is available at a prime location in New chandigarh mohali. It has a built-up area of 1415 sqft and is priced at Rs. 79.50 lac . The house is semi-furnished. It has lift available. Other amenities include club house, gymnasium, power backup and swimming pool. It is facing west direction. This residential complex is under-construction as of now. . It is made in way to provide a comfortable living for the residents. ",1,west,0,0,1,1,0,1,1,1,1,1,0,0,,,,1,,,,,,,,,,,,,
Sector 35,1575,12000000,INR,,0,0,"A 2 BHK Independent Floor for sale in Sector 35, Mohali. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Sector 35's most desired properties. Contact now for more information. This 2 BHK unit is on floor 0. There are 3 floors in this property. The price of this Independent Floor is Rs 1.2 Cr. Each unit has a built-up area of 1575 Square feet. The carpet area is 1260 Square feet. There are 2 bedrooms. There is provision for 2 bathroom. This residential property is near Government Model Senior Secondary School, CMJ University, and Shishu Niketan Public School. It is also close to Tricity Institute of Plastic Surgery TIPS, Mukat Hospital & Heart Institute, and Grover Eye Laser & ENT Hospital",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sunny Enclave,600,1690000,INR,1,1,0,"It’s a 1 bhk builder floor situated in Sunny Enclave, Chandigarh. It has a salable area of 600 sqft and is available at a price of Rs. 2,816 per sqft. The house is semi-furnished. It is east facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 16,9000,100000000,INR,1,0,0,"A spacious 8 bhk builder floor is available for sale in Sector 16, Chandigarh. It has an area of 9000 sqft . The property is available at a price of Rs. 10.00 cr . The house is semi-furnished. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Lohgarh,1350,6200000,INR,,1,0,"This spacious 3 bhk builder floor is available for sale and is located in the heart of Lohgarh. It has a salable area of 1350 sqft and is available at a price of Rs. 4,592 per sqft. It is a semi-furnished property. It is east facing property. This residential complex is under-construction as of now. . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,east,0,0,1,1,0,1,1,1,1,1,0,0,,,,1,,,,,,,,,,,,,
Sector 34,3250,32500000,INR,,0,0,"It’s a 3 bhk builder floor situated in Sector 34. It has an area of 3250 sqft with a carpet area of 2100 sqft . The property is available at a price of Rs. 3.25 cr . It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,1596,9505000,INR,,0,0,"Well designed 3 bhk builder floor is available at a prime location in New chandigarh mohali. It has a salable area of 1596 sqft and is available at a price of Rs. 5,955 per sqft. It is an under-construction property . It is made in way to provide a comfortable living. If you are interested, please contact us for more details. ",1,east,0,0,1,1,0,1,1,1,1,1,0,0,,,,1,,,,,,,,,,,,,
Sector 19,3000,51000000,INR,,0,0,"A spacious 3 bhk builder floor is available for sale in Sector 19, Chandigarh. It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Kindly call us for details. ",1,northeast,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Gazipur,1450,3900000,INR,1,1,0,"A spacious 3 bhk builder floor is available for sale in Motia Developers Motia Platinum Floors, Gazipur, Chandigarh. The house is semi-furnished. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1,east,0,5,1,0,0,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,
Lohgarh,1800,6200000,INR,,0,0,"It’s a 3 bhk builder floor situated in Lohgarh, Chandigarh. It has an area of 1800 sqft with a carpet area of 1600 sqft . The property is available at a price of Rs. 62.00 lac . It is a semi-furnished property. It is facing northeast direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Please contact for more details. ",1,northeast,0,0,1,1,0,1,1,1,1,1,0,0,,,,1,,,,,,,,,,,,,
Sector 60,2250,16000000,INR,,1,0,"It has a salable area of 2250 sqft and is available at a price of Rs. 7,111 per sqft. It is an unfurnished property. It is facing southeast direction. It is an under-construction property . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,southeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sunny Enclave,1350,4299000,INR,,1,0,"It has a salable area of 1350 sqft and is available at a price of Rs. 3,184 per sqft. It is a semi-furnished property. This residential complex is under-construction as of now. . It is made in way to provide a comfortable living for the residents. Contact us for more details. ",1,east,0,0,1,1,0,1,1,1,1,1,0,0,,,,1,,,,,,,,,,,,,
Sector 49,1200,31900000,INR,,1,0,"It’s a 2 bhk builder floor situated in Sector 49, Chandigarh. It has an area of 1200 sqft with a carpet area of 972 sqft . The property is available at a price of Rs. 3.19 cr . Its main door is facing northeast direction. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,northeast,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 78,1440,9000000,INR,1,0,0,"A 3 bhk property is available for sale in Sector 78, Chandigarh. It has an area of 1440 sqft . The property is available at a price of Rs. 90.00 lac . The house is semi-furnished. It is a ready-to-move-in property. Contact us for more details. ",1,east,0,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Dhakoli,2079,7900000,INR,,1,0,"A spacious 4 bhk builder floor is available for sale in Dhakoli, Chandigarh. It has a built-up area of 2079 sqft and is priced at Rs. 79.00 lac . It is a semi-furnished property. Furnishings include 1 tv, 1 sofa, 1 sofa and 1 ac. It is facing northeast direction. This residential complex is under-construction as of now. . It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Kindly call us for details. ",1,northeast,0,0,1,1,0,1,1,1,1,1,0,0,,,,1,,,,,,,,,,,,,
New chandigarh mohali,1640,6499320,INR,,0,0,"A 3 bhk property is available for sale in New chandigarh mohali, Chandigarh. It has an area of 1640 sqft with a carpet area of 1300 sqft . The property is available at a price of Rs. 65.00 lac . It is a semi-furnished property. It is facing west direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",1,west,0,0,0,1,0,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,
Dhakoli,1080,3200000,INR,,1,0,"This spacious 3 bhk builder floor is available for sale and is located in the heart of Dhakoli. It has an area of 1080 sqft with a carpet area of 750 sqft . The property is available at a price of Rs. 32.00 lac . It is a semi-furnished property. Its main door is facing southwest direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,southwest,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Dhakoli,855,2790000,INR,,1,0,It has a built-up area of 855 sqft and is priced at Rs. 27.90 lac . The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Please contact for more details. ,1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 22,1400,11000000,INR,,1,0,It has an area of 1400 sqft with a carpet area of 1200 sqft . The property is available at a price of Rs. 1.10 cr . The house is unfurnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. Please contact for more details. ,1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Dhakoli,1044,3950000,INR,1,0,0,"Well designed 3 bhk builder floor is available at a prime location in Dhakoli. The house is semi-furnished. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
